                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5281,                 3.9497,                 4.2954,                0.00219,                 0.3479,                 0.0068,                0.00167,                 3.6969,                 4.0491,                 4.1496,               0.070492,              0.0032787,              0.0032787
                      1,                 3.5915,                 3.7444,                    4.2,                 0.0022,                 0.3536,                0.01225,                0.00276,                 3.6817,                 3.9061,                 4.1269,               0.040459,              0.0065793,              0.0065793
                      2,                 3.3405,                 3.2768,                 3.9233,                0.00356,                0.31749,                0.00349,                0.00117,                 3.0406,                    inf,                 20.412,               0.010393,              0.0098469,              0.0098469
                      3,                 2.9457,                 2.7954,                 3.4179,                0.07757,                0.37633,                0.02555,                0.00714,                 2.9926,                    inf,                 5.2442,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.5518,                 2.4736,                 2.9999,                0.03268,                 0.4543,                0.02595,                0.00749,                 2.9044,                    inf,                 6.7203,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3465,                 2.1509,                 2.7397,                0.56634,                0.44979,                0.46702,                0.17038,                 2.1717,                 2.1684,                 2.7215,               0.009802,               0.009802,               0.009802
                      6,                 2.2102,                 1.9607,                 2.5641,                0.58748,                0.55225,                0.59283,                0.23285,                 1.9781,                 1.9264,                 2.5257,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0579,                 1.7658,                 2.4003,                0.73486,                0.63395,                0.71749,                0.33713,                  1.871,                 1.7484,                 2.4036,               0.009703,               0.009703,               0.009703
                      8,                 1.8969,                   1.62,                 2.2479,                0.77607,                0.69751,                0.76242,                0.36307,                 1.7389,                 1.4065,                 2.2608,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7911,                 1.5244,                 2.1239,                0.82233,                0.69449,                0.80075,                0.39152,                   1.74,                 1.2864,                 2.2288,               0.009604,               0.009604,               0.009604
                     10,                  1.721,                 1.3876,                  2.061,                0.85973,                0.81859,                0.89132,                0.51285,                 1.4611,                 1.0482,                 2.0015,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6652,                 1.3891,                 2.0133,                0.85651,                0.72315,                0.82123,                 0.4735,                 1.5056,                 1.2638,                 2.0519,               0.009505,               0.009505,               0.009505
                     12,                 1.5962,                 1.3026,                 1.9471,                0.86172,                0.81643,                0.89674,                0.52733,                 1.4035,                 1.1652,                 1.9318,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5271,                 1.2367,                 1.8735,                0.86492,                 0.8178,                0.89191,                0.55141,                 1.3522,                0.96244,                  1.879,               0.009406,               0.009406,               0.009406
                     14,                 1.4723,                 1.1929,                  1.827,                0.89055,                0.84922,                0.92468,                0.56248,                  1.308,                0.93446,                 1.8435,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4615,                 1.1835,                 1.8227,                0.88946,                0.82723,                 0.9277,                0.59513,                 1.2135,                 1.0008,                 1.7664,               0.009307,               0.009307,               0.009307
                     16,                 1.4203,                 1.1296,                 1.7779,                0.86402,                0.81401,                0.90338,                0.56633,                 1.2975,                0.99198,                 1.7717,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.3705,                 1.0918,                 1.7291,                0.92292,                0.89006,                0.95179,                0.64043,                 1.1096,                0.81007,                 1.6692,               0.009208,               0.009208,               0.009208
                     18,                 1.3459,                 1.0652,                 1.7076,                0.95651,                0.83861,                0.93743,                0.63471,                 1.1255,                0.84859,                 1.6482,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.3069,                 1.0688,                 1.6866,                0.90259,                0.87003,                 0.9358,                0.61232,                 1.2278,                0.82532,                 1.7137,               0.009109,               0.009109,               0.009109
                     20,                 1.2934,                 1.0298,                  1.686,                 0.9223,                0.87056,                0.94444,                0.64614,                 1.1037,                0.79423,                 1.6488,              0.0090595,              0.0090595,              0.0090595
                     21,                  1.283,                 1.0002,                 1.6524,                 0.9179,                  0.873,                0.94298,                0.65553,                 1.0859,                0.76833,                 1.5898,                0.00901,                0.00901,                0.00901
                     22,                 1.2701,                 1.0144,                 1.6495,                0.92142,                0.78958,                0.90216,                 0.5936,                 1.2205,                0.91405,                 1.7222,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.2278,                0.96405,                 1.6035,                0.92174,                0.91976,                0.95557,                0.65563,                 1.0873,                0.70791,                 1.6133,               0.008911,               0.008911,               0.008911
                     24,                 1.2142,                0.94322,                 1.5776,                0.94605,                0.89452,                0.94623,                 0.6723,                 1.0156,                0.71147,                 1.5351,              0.0088615,              0.0088615,              0.0088615
